name,point
소공녀,2110.5800000000086
러빙 빈센트,1930.340000000008
위대한 쇼맨,1803.6800000000012
원더,1429.5100000000025
당갈,1358.439999999999
어벤져스: 인피니티 워,1309.8100000000034
내 사랑,1274.9099999999999
세 번째 살인,1236.8999999999974
패터슨,1163.0899999999963
"안녕, 나의 소울메이트",1150.0200000000002
리틀 포레스트,1149.38
셰이프 오브 워터: 사랑의 모양,1149.0499999999977
어느 가족,1117.0000000000016
신비아파트: 금빛 도깨비와 비밀의 동굴,1042.7500000000002
뽀로로 극장판 공룡섬 대모험,1018.289999999998
비밥바룰라,1018.1399999999983
극장판 헬로카봇 : 백악기 시대,1016.1700000000012
라라랜드,1014.5300000000021
킹 오브 프리즘 프라이드 더 히어로,1007.2100000000004
플로리다 프로젝트,945.9399999999976
걸어도 걸어도,942.1499999999986
콜 미 바이 유어 네임,916.8599999999994
너의 췌장을 먹고 싶어,899.2099999999992
코코,892.7600000000007
시카리오: 데이 오브 솔다도,892.6600000000003
패딩턴 2,857.0900000000013
신과함께-죄와 벌,846.7299999999989
파리로 가는 길,798.7299999999998
12 솔져스,796.980000000001
"부르고뉴, 와인에서 찾은 인생",777.3000000000013
1987,759.4699999999993
그것만이 내 세상,751.3999999999993
더 포스트,744.5000000000006
카메라를 멈추면 안 돼!,743.3699999999998
캐롤,733.6199999999984
블랙 팬서,718.2300000000001
팬텀 스레드,717.6700000000001
킹 오브 프리즘 한국어판,708.3199999999988
맘마미아!2,705.29
독전,699.4900000000006
바닷마을 다이어리,699.1400000000006
미션 임파서블: 폴아웃,685.9899999999996
미드나잇 선,675.1699999999989
그렇게 아버지가 된다,670.9100000000003
"그날, 바다",667.8900000000007
앤트맨과 와스프,659.9200000000001
맨체스터 바이 더 씨,653.6600000000008
강철비,648.8
"나, 다니엘 블레이크",645.8800000000007
허스토리,640.7900000000003
B급 며느리,638.3099999999994
나의 산티아고,634.1399999999998
진주 귀걸이를 한 소녀,632.7900000000003
아이 엠 러브,616.8399999999993
서치,606.3499999999999
태풍이 지나가고,602.1200000000009
지금 만나러 갑니다,601.7500000000002
너의 결혼식,598.8099999999997
안시성,587.7799999999997
인크레더블 2,583.5199999999995
아무도 모른다,573.85
신은 죽지 않았다 3: 어둠 속의 빛,561.45
데드풀 2,546.5699999999995
레이디 버드,545.5000000000003
레디 플레이어 원,545.49
"오늘 밤, 로맨스 극장에서",541.2499999999993
신과함께-인과 연,540.5200000000007
수면의 과학,533.0199999999995
극장판 포켓몬스터 너로 정했다!,532.8800000000005
죄 많은 소녀,528.1100000000002
다키스트 아워,522.3300000000002
아일라,515.9800000000001
비긴 어게인,514.1399999999996
다시 태어나도 우리,503.5499999999996
타이타닉,501.51000000000045
쥬라기 월드: 폴른 킹덤,494.04000000000013
아이 필 프리티,493.44
바르다가 사랑한 얼굴들,490.53000000000037
스타 이즈 본,487.0700000000004
사랑과 영혼,476.8400000000002
탐정: 리턴즈,475.48
버닝,474.3999999999999
빌리 엘리어트,473.29999999999944
암수살인,466.4099999999999
미쓰백,461.0299999999998
마녀,459.34000000000003
박화영,456.83
쓰리 빌보드,456.2400000000003
개들의 섬,454.8700000000001
탑건,454.2300000000005
문라이트,452.9699999999996
피터 래빗,452.1400000000001
우리들,451.71000000000055
이별의 아침에 약속의 꽃을 장식하자,449.6099999999998
베놈,449.0599999999997
덕구,447.97999999999985
페르디난드,445.79000000000025
킬링 디어,442.0999999999996
타샤 튜더,438.5399999999996
노인을 위한 나라는 없다,434.80999999999966
"안녕, 나의 소녀",432.2400000000001
댄서,428.38000000000045
그랜드 부다페스트 호텔,426.66000000000014
아이 캔 스피크,420.52000000000044
곤지암,419.90999999999997
라이프 오브 파이,406.28999999999974
너의 이름은.,402.5
튤립 피버,397.06999999999977
마지막 황제,396.5900000000003
콰이어트 플레이스,393.9899999999999
러브레터,391.0800000000003
사라진 밤,387.0899999999997
이터널 선샤인,382.2000000000002
벤자민 버튼의 시간은 거꾸로 간다,381.41000000000014
50가지 그림자: 해방,380.6399999999997
곰돌이 푸 다시 만나 행복해,378.2800000000003
바그다드 카페 : 디렉터스컷,377.9500000000002
오리엔트 특급 살인,376.68000000000006
월요일이 사라졌다,375.3399999999999
나미야 잡화점의 기적,374.09
트루스 오어 데어,369.4400000000001
춘몽,368.07000000000005
