title,rank,berg
국가부도의 날,81,최국희|김혜수|유아인|
보헤미안 랩소디,92,브라이언 싱어|라미 말렉|조셉 마젤로|마이크 마이어스|루시 보인턴|
성난황소,72,김민호|마동석|송지효|김성오|
완벽한 타인,76,이재규|유해진|조진웅|이서진|염정아|김지수|송하윤|윤경호|
후드,74,오토 배서스트|태런 에저튼|제이미 폭스|벤 멘델존|제이미 도넌|이브 휴슨|폴 앤더슨|
신비한 동물들과 그린델왈드의 범죄,6,데이빗 예이츠|에디 레드메인|캐서린 워터스턴|앨리슨 수돌|에즈라 밀러|주드 로|조니 뎁|칼럼 터너|
거미줄에 걸린 소녀,92,페드 알바레즈|클레어 포이|
베일리 어게인,9,라세 할스트롬|조시 게드|데니스 퀘이드|
바울,84,앤드류 하이엇|제임스 펄크너|제임스 카비젤|
로빈슨의 언더워터 어드벤처,33,막심 볼코브|비탈리 무카메지아노브|
출국,82,노규엽|이범수|
폴란드로 간 아이들,91,추상미|추상미|이송|
저니스 엔드,84,사울 딥|샘 클래플린|에이사 버터필드|폴 베타니|
SIFF2018 - 벌새,10,김보라|박지후|김새벽|
28세 미성년,87,장모|니니|왕대륙|곽건화|마소|
번 더 스테이지: 더 무비,,
SIFF2018 - 나는보리,95,김진유|김아송|이린하|곽진석|허지나|
SIFF2018 - 사령혼: 죽은 넋,,왕빙|
스타 이즈 본,87,브래들리 쿠퍼|브래들리 쿠퍼|레이디 가가|
영주,85,차성덕|김향기|김호정|
