index,title
1,Black Panther (2018)
2,Mission: Impossible - Fallout (2018)
3,BlacKkKlansman (2018)
4,A Star Is Born (2018)
5,A Quiet Place (2018)
6,Paddington 2 (2018)
7,Incredibles 2 (2018)
8,Eighth Grade (2018)
9,Leave No Trace (2018)
10,Call Me by Your Name (2018)
11,Won't You Be My Neighbor? (2018)
12,The Death of Stalin (2018)
13,Crazy Rich Asians (2018)
14,Can You Ever Forgive Me? (2018)
15,Phantom Thread (2018)
16,First Man (2018)
17,"I, Tonya (2018)"
18,The Post (2018)
19,Ant-Man and the Wasp (2018)
20,Widows (2018)
21,The Hate U Give (2018)
22,Roma (2018)
23,Hereditary (2018)
24,Isle of Dogs (2018)
25,The Rider (2018)
26,Avengers: Infinity War (2018)
27,McQueen (2018)
28,A Fantastic Woman (Una mujer fantástica) (2018)
29,Sorry to Bother You (2018)
30,Summer 1993 (Estiu 1993) (2018)
31,Shoplifters (Manbiki kazoku) (2018)
32,Searching (2018)
33,Three Identical Strangers (2018)
34,First Reformed (2018)
35,The Guilty (Den skyldige) (2018)
36,Minding the Gap (2018)
37,The Tale (2018)
38,Tea With the Dames (Nothing Like a Dame) (2018)
39,Shirkers (2018)
40,Oh Lucy! (2018)
41,Loveless (Nelyubov) (2018)
42,Mandy (2018)
43,"Love, Simon (2018)"
44,Hannah Gadsby: Nanette (2018)
45,Pick of the Litter (2018)
46,Night Comes On (2018)
47,Annihilation (2018)
48,Wildlife (2018)
49,The Ballad of Buster Scruggs (2018)
50,Science Fair (2018)
51,Foxtrot (2018)
52,RBG (2018)
53,In Between (2018)
54,Deadpool 2 (2018)
55,You Were Never Really Here (2018)
56,Zama (2018)
57,Free Solo (2018)
58,Blaze (2018)
59,I Am Not a Witch (2018)
60,Beast (2018)
61,Blindspotting (2018)
62,The Cakemaker (2018)
63,They Shall Not Grow Old (2018)
64,Filmworker (2018)
65,The Endless (2018)
66,The Favourite (2018)
67,Custody (Jusqu'à la garde) (2018)
68,Sweet Country (2018)
69,The Old Man & the Gun (2018)
70,Private Life (2018)
71,Border (Gräns) (2018)
72,To All the Boys I've Loved Before (2018)
73,Tully (2018)
74,Burning (Beoning) (2018)
75,Lean on Pete (2018)
76,Bisbee '17 (2018)
77,Western (2018)
78,Hearts Beat Loud (2018)
79,Journey's End (2018)
80,American Animals (2018)
81,Revenge (2018)
82,Robin Williams: Come Inside My Mind (2018)
83,"Nico, 1988 (2018)"
84,If Beale Street Could Talk (2018)
85,Support the Girls (2018)
86,Teen Titans Go! To the Movies (2018)
87,The Guardians (Les Gardiennes) (2018)
88,CAM (2018)
89,A Simple Favor (2018)
90,24 Frames (2018)
91,Molly's Game (2018)
92,Ralph Breaks the Internet (2018)
93,Whitney (2018)
94,Halloween (2018)
95,Game Night (2018)
96,A Prayer Before Dawn (2018)
97,We the Animals (2018)
98,Upgrade (2018)
99,Colette (2018)
100,The Miseducation of Cameron Post (2018)
