구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,한국인비율,전체대비인구비율
강남구,2780,150.61919504643964,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,99.13234005258545,5.594451402505922
강동구,773,166.49076517150397,453233.0,449019.0,4214.0,54622.0,0.9297646023127177,12.051637899270354,99.07023539768728,4.444504807207654
강북구,748,125.20325203252031,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,98.93819353588216,3.237937068354488
강서구,884,134.7938144329897,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,98.91945966358162,5.920724123039099
관악구,1496,149.29078014184398,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705,96.51541820880469,5.15331836772638
광진구,707,53.22862129144852,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,95.98214765533474,3.649523946997746
구로구,1561,64.97373029772329,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,92.99200221490865,4.391953247056858
금천구,1015,100.0,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857,92.65765518539136,2.5013915033374508
노원구,1265,188.929889298893,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504,99.32927514647409,5.583507655327663
도봉구,485,246.6386554621849,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916,99.42147622516822,3.418901145798562
동대문구,1294,74.76635514018692,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040053,95.82755970294671,3.6233609385106544
동작구,1091,139.33823529411765,412520.0,400456.0,12064.0,56013.0,2.9244642683991082,13.578250751478716,97.0755357316009,4.045263965927683
마포구,574,212.1019108280255,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516,97.15564520889313,3.8209857923488695
서대문구,962,48.5781990521327,327163.0,314982.0,12181.0,48161.0,3.7232205353294843,14.720796667104777,96.27677946467051,3.2082340126170816
서초구,1930,63.37126600284495,450310.0,445994.0,4316.0,51733.0,0.9584508449734627,11.488308054451378,99.04154915502654,4.41584121132768
성동구,1062,81.78082191780823,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044,97.47336494840062,3.0521287157257726
성북구,1464,63.62735381565907,461260.0,449773.0,11487.0,64692.0,2.4903525126826516,14.025061787278325,97.50964748731735,4.523219375845542
송파구,618,104.34782608695652,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278,98.96641562406833,6.545488528481788
양천구,2034,34.67173087357569,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233,99.16058652688248,4.706772296708129
영등포구,904,157.97979797979798,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832,91.33640209933372,3.9517616098840476
용산구,1624,53.216374269005854,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920505,93.96117164817795,2.394709580799568
은평구,1873,85.23725834797891,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,99.10090859810514,4.84807999996862
종로구,1002,248.92241379310346,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,94.3305490725955,1.5966495659176412
중구,671,147.6997578692494,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,93.29930951666167,1.3065814283433639
중랑구,660,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698,98.88517091553017,4.06470971024174
