Rank,Rating,Title,Review,Genre,URL,Berg
1,97%,Black Panther (2018),435,"Action & Adventure,Drama,Science Fiction & Fantasy,",https://www.rottentomatoes.com/m/black_panther_2018,"Ryan Coogler,"
2,97%,Mission: Impossible - Fallout (2018),368,Action & Adventure|Drama|Mystery & Suspense|,https://www.rottentomatoes.com/m/mission_impossible_fallout,"Christopher McQuarrie,"
3,95%,BlacKkKlansman (2018),355,"Comedy,Drama,",https://www.rottentomatoes.com/m/blackkklansman,"Spike Lee,"
4,90%,A Star Is Born (2018),427,Drama|,https://www.rottentomatoes.com/m/a_star_is_born_2018,"Bradley Cooper,"
5,95%,A Quiet Place (2018),320,"Drama,Horror,Mystery & Suspense,",https://www.rottentomatoes.com/m/a_quiet_place_2018,"John Krasinski,"
6,100%,Paddington 2 (2018),214,"Animation,Comedy,Kids & Family,",https://www.rottentomatoes.com/m/paddington_2,"Paul King (VII),"
7,94%,Incredibles 2 (2018),322,Action & Adventure|Animation|Kids & Family|,https://www.rottentomatoes.com/m/incredibles_2,"Brad Bird,"
8,99%,Eighth Grade (2018),216,"Comedy,",https://www.rottentomatoes.com/m/eighth_grade,"Bo Burnham,"
9,100%,Leave No Trace (2018),196,"Drama,",https://www.rottentomatoes.com/m/leave_no_trace,"Debra Granik,"
10,94%,Call Me by Your Name (2018),309,Drama|Romance|,https://www.rottentomatoes.com/m/call_me_by_your_name,"Luca Guadagnino,"
11,99%,Won't You Be My Neighbor? (2018),201,"Documentary,",https://www.rottentomatoes.com/m/wont_you_be_my_neighbor,"Morgan Neville,"
12,96%,The Death of Stalin (2018),220,Comedy|Drama|,https://www.rottentomatoes.com/m/the_death_of_stalin,"Armando Iannucci,"
13,92%,Crazy Rich Asians (2018),296,"Comedy,",https://www.rottentomatoes.com/m/crazy_rich_asians,"Jon M. Chu,"
14,98%,Can You Ever Forgive Me? (2018),183,"Comedy,Drama,",https://www.rottentomatoes.com/m/can_you_ever_forgive_me,"Marielle Heller,"
15,91%,Phantom Thread (2018),302,"Drama,",https://www.rottentomatoes.com/m/phantom_thread,"Paul Thomas Anderson,"
16,88%,First Man (2018),363,"Drama,",https://www.rottentomatoes.com/m/first_man,"Damien Chazelle,"
17,89%,"I, Tonya (2018)",339,"Drama,",https://www.rottentomatoes.com/m/i_tonya,"Craig Gillespie,"
18,88%,The Post (2018),355,Drama|Mystery & Suspense|,https://www.rottentomatoes.com/m/the_post,"Steven Spielberg,"
19,88%,Ant-Man and the Wasp (2018),355,Action & Adventure|Comedy|Science Fiction & Fantasy|,https://www.rottentomatoes.com/m/ant_man_and_the_wasp,"Peyton Reed,"
20,91%,Widows (2018),291,"Drama,",https://www.rottentomatoes.com/m/widows_2018,"Steve McQueen (III),"
21,97%,The Hate U Give (2018),172,"Drama,",https://www.rottentomatoes.com/m/the_hate_u_give,"George Tillman Jr.,"
22,99%,Roma (2018),133,Drama|,https://www.rottentomatoes.com/m/roma_2018,"Alfonso Cuarón,"
23,89%,Hereditary (2018),308,"Drama,Horror,",https://www.rottentomatoes.com/m/hereditary,"Ari Aster,"
24,89%,Isle of Dogs (2018),308,Action & Adventure|Animation|Comedy|,https://www.rottentomatoes.com/m/isle_of_dogs_2018,"Wes Anderson,"
25,97%,The Rider (2018),151,"Drama,",https://www.rottentomatoes.com/m/the_rider,"Chloé Zhao,"
26,84%,Avengers: Infinity War (2018),397,Action & Adventure|Science Fiction & Fantasy|,https://www.rottentomatoes.com/m/avengers_infinity_war,"Anthony Russo,Joe Russo,"
27,99%,McQueen (2018),109,"Documentary,",https://www.rottentomatoes.com/m/mcqueen,"Ian Bonhôte,"
28,94%,A Fantastic Woman (Una mujer fantástica) (2018),200,"Art House & International,Drama,",https://www.rottentomatoes.com/m/a_fantastic_woman,"Sebastián Lelio,"
29,93%,Sorry to Bother You (2018),222,"Comedy,Science Fiction & Fantasy,",https://www.rottentomatoes.com/m/sorry_to_bother_you_2018,"Boots Riley,"
30,100%,Summer 1993 (Estiu 1993) (2018),80,"Art House & International,Drama,",https://www.rottentomatoes.com/m/summer_1993,"Carla Simón,"
31,99%,Shoplifters (Manbiki kazoku) (2018),103,Art House & International|Drama|,https://www.rottentomatoes.com/m/shoplifters,"Hirokazu Koreeda,"
32,93%,Searching (2018),207,Mystery & Suspense|,https://www.rottentomatoes.com/m/searching_2018,"Aneesh Chaganty,"
33,96%,Three Identical Strangers (2018),147,"Documentary,",https://www.rottentomatoes.com/m/three_identical_strangers,"Tim Wardle,"
34,93%,First Reformed (2018),201,"Drama,",https://www.rottentomatoes.com/m/first_reformed,"Paul Schrader,"
35,99%,The Guilty (Den skyldige) (2018),81,"Drama,Mystery & Suspense,",https://www.rottentomatoes.com/m/the_guilty_2018,"Gustav Möller,"
36,100%,Minding the Gap (2018),54,"Documentary,",https://www.rottentomatoes.com/m/minding_the_gap,"Bing Liu,"
37,99%,The Tale (2018),68,"Drama,",https://www.rottentomatoes.com/m/the_tale,"Jennifer Fox,"
38,99%,Tea With the Dames (Nothing Like a Dame) (2018),67,Documentary|,https://www.rottentomatoes.com/m/tea_with_the_dames,"Roger Michell,"
39,100%,Shirkers (2018),47,"Documentary,",https://www.rottentomatoes.com/m/shirkers,"Sandi Tan,"
40,100%,Oh Lucy! (2018),47,"Comedy,Drama,",https://www.rottentomatoes.com/m/oh_lucy_2018,"Atsuko Hirayanagi,"
41,94%,Loveless (Nelyubov) (2018),161,"Art House & International,Drama,",https://www.rottentomatoes.com/m/loveless_2018,"Andrey Zvyagintsev,"
42,92%,Mandy (2018),198,Action & Adventure|Mystery & Suspense|,https://www.rottentomatoes.com/m/mandy_2018,"Panos Cosmatos,"
43,92%,"Love, Simon (2018)",198,Drama|,https://www.rottentomatoes.com/m/love_simon,"Greg Berlanti,"
44,100%,Hannah Gadsby: Nanette (2018),42,"Comedy,",https://www.rottentomatoes.com/m/hannah_gadsby_nanette,
45,100%,Pick of the Litter (2018),42,"Documentary,",https://www.rottentomatoes.com/m/pick_of_the_litter,"Dana Nachman,Don Hardy Jr.,"
46,100%,Night Comes On (2018),42,Drama|,https://www.rottentomatoes.com/m/night_comes_on,"Jordana Spiro,"
47,88%,Annihilation (2018),264,"Action & Adventure,Drama,Science Fiction & Fantasy,",https://www.rottentomatoes.com/m/annihilation,"Alex Garland,"
48,93%,Wildlife (2018),167,Drama|,https://www.rottentomatoes.com/m/wildlife_2018,"Paul Dano,"
49,92%,The Ballad of Buster Scruggs (2018),164,Drama|Western|,https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs,"Joel Coen,Ethan Coen,"
50,98%,Science Fair (2018),64,"Documentary,",https://www.rottentomatoes.com/m/science_fair,"Cristina Costantini,Darren Foster,"
51,95%,Foxtrot (2018),120,"Drama,",https://www.rottentomatoes.com/m/foxtrot_2018,"Samuel Maoz,"
52,94%,RBG (2018),137,Documentary|,https://www.rottentomatoes.com/m/rbg,"Betsy West,Julie Cohen,"
53,98%,In Between (2018),60,Drama|,https://www.rottentomatoes.com/m/in_between_2018,"Maysaloun Hamoud,"
54,83%,Deadpool 2 (2018),345,"Action & Adventure,Comedy,",https://www.rottentomatoes.com/m/deadpool_2,"David Leitch,"
55,89%,You Were Never Really Here (2018),230,"Drama,Mystery & Suspense,",https://www.rottentomatoes.com/m/you_were_never_really_here,"Lynne Ramsay,"
56,96%,Zama (2018),95,Drama|,https://www.rottentomatoes.com/m/zama,"Lucrecia Martel,"
57,97%,Free Solo (2018),75,"Documentary,",https://www.rottentomatoes.com/m/free_solo,"Elizabeth Chai Vasarhelyi,Jimmy Chin,"
58,97%,Blaze (2018),74,Drama|,https://www.rottentomatoes.com/m/blaze_2018,"Ethan Hawke,"
59,97%,I Am Not a Witch (2018),69,Art House & International|Drama|,https://www.rottentomatoes.com/m/i_am_not_a_witch,"Rungano Nyoni,"
60,94%,Beast (2018),125,Drama|,https://www.rottentomatoes.com/m/beast,"Michael Pearce,"
61,93%,Blindspotting (2018),144,"Comedy,Drama,",https://www.rottentomatoes.com/m/blindspotting,"Carlos Lopez Estrada,"
62,98%,The Cakemaker (2018),47,Drama|,https://www.rottentomatoes.com/m/the_cakemaker,"Ofir Raul Graizer,"
63,98%,They Shall Not Grow Old (2018),41,"Art House & International,Documentary,",https://www.rottentomatoes.com/m/they_shall_not_grow_old,"Peter Jackson,"
64,96%,Filmworker (2018),72,Art House & International|Documentary|,https://www.rottentomatoes.com/m/filmworker,"Tony Zierra,"
65,94%,The Endless (2018),110,Horror|Mystery & Suspense|Science Fiction & Fantasy|,https://www.rottentomatoes.com/m/the_endless,"Justin Benson,Aaron Moorhead,"
66,95%,The Favourite (2018),110,Drama|,https://www.rottentomatoes.com/m/the_favourite_2018,"Yorgos Lanthimos,"
67,94%,Custody (Jusqu'à la garde) (2018),105,"Drama,",https://www.rottentomatoes.com/m/custody_2018,"Xavier Legrand,"
68,95%,Sweet Country (2018),83,"Action & Adventure,Art House & International,Drama,",https://www.rottentomatoes.com/m/sweet_country_2018,"Warwick Thornton,"
69,90%,The Old Man & the Gun (2018),176,Drama|,https://www.rottentomatoes.com/m/the_old_man_and_the_gun,"David Lowery,"
70,95%,Private Life (2018),78,"Drama,",https://www.rottentomatoes.com/m/private_life_2018,"Tamara Jenkins,"
71,96%,Border (Gräns) (2018),57,"Art House & International,Mystery & Suspense,Science Fiction & Fantasy,Romance,",https://www.rottentomatoes.com/m/border_2018,"John Ajvide Lindqvist,Isabella Eklöf,"
72,96%,To All the Boys I've Loved Before (2018),54,Drama|Romance|,https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before,"Susan Johnson,"
73,86%,Tully (2018),243,"Comedy,",https://www.rottentomatoes.com/m/tully_2018,"Jason Reitman,"
74,93%,Burning (Beoning) (2018),107,Art House & International|Drama|Mystery & Suspense|,https://www.rottentomatoes.com/m/burning_2018,"Chang-dong Lee,"
75,90%,Lean on Pete (2018),164,Drama|,https://www.rottentomatoes.com/m/lean_on_pete,"Andrew Haigh,"
76,96%,Bisbee '17 (2018),47,Documentary|Western|,https://www.rottentomatoes.com/m/bisbee_17,"Robert Greene,"
77,95%,Western (2018),64,Art House & International|Drama|,https://www.rottentomatoes.com/m/western_2018,"Valeska Grisebach,"
78,91%,Hearts Beat Loud (2018),138,"Comedy,Drama,",https://www.rottentomatoes.com/m/hearts_beat_loud,"Brett Haley,"
79,93%,Journey's End (2018),90,Drama|,https://www.rottentomatoes.com/m/journeys_end_2018,"Saul Dibb,"
80,88%,American Animals (2018),184,"Comedy,Drama,Mystery & Suspense,",https://www.rottentomatoes.com/m/american_animals,"Bart Layton,"
81,92%,Revenge (2018),106,"Action & Adventure,Mystery & Suspense,",https://www.rottentomatoes.com/m/revenge_2018,"Coralie Fargeat,"
82,95%,Robin Williams: Come Inside My Mind (2018),44,Documentary|,https://www.rottentomatoes.com/m/robin_williams_come_inside_my_mind,"Marina Zenovich,"
83,94%,"Nico, 1988 (2018)",63,Art House & International|Drama|Musical & Performing Arts|,https://www.rottentomatoes.com/m/nico_1988,"Susanna Nicchiarelli,"
84,93%,If Beale Street Could Talk (2018),81,Drama|Romance|,https://www.rottentomatoes.com/m/if_beale_street_could_talk,"Barry Jenkins (III),"
85,92%,Support the Girls (2018),92,Comedy|,https://www.rottentomatoes.com/m/support_the_girls,"Andrew Bujalski,"
86,91%,Teen Titans Go! To the Movies (2018),111,Action & Adventure|Animation|Kids & Family|,https://www.rottentomatoes.com/m/teen_titans_go_to_the_movies,"Aaron Horvath,Peter Rida Michail,"
87,94%,The Guardians (Les Gardiennes) (2018),52,"Art House & International,Drama,",https://www.rottentomatoes.com/m/the_guardians_2018,"Xavier Beauvois,"
88,93%,CAM (2018),68,Horror|Mystery & Suspense|,https://www.rottentomatoes.com/m/cam,"Daniel Goldhaber,"
89,86%,A Simple Favor (2018),201,"Mystery & Suspense,",https://www.rottentomatoes.com/m/a_simple_favor,"Paul Feig,"
90,94%,24 Frames (2018),47,"Art House & International,Drama,",https://www.rottentomatoes.com/m/24_frames,"Abbas Kiarostami,"
91,82%,Molly's Game (2018),267,"Drama,",https://www.rottentomatoes.com/m/mollys_game,"Aaron Sorkin,"
92,87%,Ralph Breaks the Internet (2018),167,Animation|Comedy|Kids & Family|Science Fiction & Fantasy|,https://www.rottentomatoes.com/m/ralph_breaks_the_internet,"Phil Johnston,Rich Moore,"
93,88%,Whitney (2018),142,"Documentary,",https://www.rottentomatoes.com/m/whitney_2018,"Kevin Macdonald,"
94,79%,Halloween (2018),313,Horror|,https://www.rottentomatoes.com/m/halloween_2018,"David Gordon Green,"
95,84%,Game Night (2018),217,"Comedy,Mystery & Suspense,",https://www.rottentomatoes.com/m/game_night_2018,"Jonathan M. Goldstein,John Francis Daley,"
96,92%,A Prayer Before Dawn (2018),60,Action & Adventure|Art House & International|,https://www.rottentomatoes.com/m/a_prayer_before_dawn_2017,"Jean-Stéphane Sauvaire,"
97,91%,We the Animals (2018),75,"Drama,",https://www.rottentomatoes.com/m/we_the_animals,"Jeremiah Zagar,"
98,86%,Upgrade (2018),158,"Action & Adventure,Horror,Science Fiction & Fantasy,",https://www.rottentomatoes.com/m/upgrade_2018,"Leigh Whannell,"
99,87%,Colette (2018),138,"Drama,",https://www.rottentomatoes.com/m/colette_2018,"Wash Westmoreland,"
100,86%,The Miseducation of Cameron Post (2018),157,Drama|,https://www.rottentomatoes.com/m/the_miseducation_of_cameron_post_2018,"Desiree Akhavan,"
